-11	FIND	DRAWING	TITLE	STRIKE
1	6	2008334-001	TRAY X	
24	5	1010957-008	INSERT, SCREW THREAD, SELF LOCKING	
2	4	1010957-012	INSERT, SCREW THREAD, SELF LOCKING	
6	3	1010957-009	INSERT, SCREW THREAD, SELF LOCKING	
44	2	1010957-010	INSERT, SCREW THREAD, SELF LOCKING	
2	1	MS21208-F4-10	INSERT, SCREW THREAD, SELF LOCKING	
				
X	REF	X	PROOFED	X
