-21	-11	DRAWING	TITLE	FIND	STRIKE
X		2005914	SCHEMATIC	REF	
	X	2005002	SCHEMATIC	REF	
					
AR	AR	1006776-25	INSULATION SLEEVING	55	
4	4	NAS620C2	WASHER, FLAT	54	
19	19	2004074	WASHER, INSULATOR	53	
AR	AR	1006757-12	WIRE, ELECTRICAL	52	
16	16	2004003-001	INTEGRATED SENSE AMPL	51	
16	16	1006293	TRANSFORMER	50	
6	6	2004004-001	TRANSISTOR, POTTED	49	
12	12	2004004-002	TRANSISTOR, POTTED	48	
2	2	2004112-002	DIODE	47	
13	13	2004103	DIODE	46	
4	4	1006755-69	CAPACITOR	45	
1	1	SEE NOTE 12	RESISTOR	44	
1	1	1006750-43	RESISTOR	43	
2	2	1006750-12	RESISTOR	42	
1	1	SEE NOTE 12	RESISTOR	41	
1	1	1006750-25	RESISTOR	40	
1	1	SEE NOTE 12	RESISTOR	39	
3	3	1006750-36	RESISTOR	38	
1	1	1006750-15	RESISTOR	37	
9	9	1006750-49	RESISTOR	36	
13	13	1006750-39	RESISTOR	35	
19	20	1006750-32	RESISTOR	34	
	1	SEE NOTE 12	RESISTOR	33	X
	1	SEE NOTE 12	RESISTOR	32	X
	1	SEE NOTE 12	RESISTOR	31	X
	1	SEE NOTE 12	RESISTOR	30	X
	1	SEE NOTE 12	RESISTOR	29	X
	1	SEE NOTE 12	RESISTOR	28	X
	1	SEE NOTE 12	RESISTOR	27	X
	1	SEE NOTE 12	RESISTOR	26	X
	1	SEE NOTE 12	RESISTOR	25	X
	1	SEE NOTE 12	RESISTOR	24	X
	1	SEE NOTE 12	RESISTOR	23	X
	1	SEE NOTE 12	RESISTOR	22	X
	1	SEE NOTE 12	RESISTOR	21	X
	1	SEE NOTE 12	RESISTOR	20	X
	1	SEE NOTE 12	RESISTOR	19	X
16	16	SEE NOTE 12 & 22	RESISTOR	18	
34	33	1006750-24	RESISTOR	17	
32	32	1006750-42	RESISTOR	16	
AR	AR	1006776-22	INSULATION SLEEVING	15	
AR	AR	1006776-21	INSULATION SLEEVING	14	
AR	AR	1006757-8	WIRE, ELECTRICAL	13	
AR	AR	1006757-12	WIRE, ELECTRICAL	12	
1	1	2004091	INSULATOR B	11	
1	1	2004090-011	INSULATOR A	10	
1	1	2004039	TERMINAL, THREADED	9	
4	4	1006783-10	SCREW, BUTTON HEAD	8	
2	2	MS16633-4015	RING, RETAINING, EXTERNAL E	7	
2	2	1004546-3	WASHER, FLAT	6	
2	2	1004546-1	WASHER, FLAT	5	
2	2	1004579-1	SCREW, JACKING	4	
1	1	2003005-011	MATRIX ASSY	3	
1	1	2004044	COVER	2	
1	1	2003044-011	HEADER HOUSING ASSY	1	
