FIND	0	DRAWING	TITLE	NOTE
1	1	MIL-W-16878 E28	WIRE, 28 AWG RED	4.00 IN. 
2	1	MIL-W-16878 E28	WIRE, 28 AWG BRN	4.25 IN.
3	1	MIL-W-16878 E28	WIRE, 28 AWG VIO	8.81 IN.
4	1	MIL-W-16878 E28	WIRE, 28 AWG GY	9.06 IN
5	6	1006776-18	INSULATION, SLEEVING	5/16 LONG
6	1	1000222	CONNECTOR - PLUG (J27)	
7	AR	QQ-S-571 SN60 WARP2	SOLDER	
8	AR	MIL-T-713 TYPE P CLASS 2 BLACK	TAPE, NYLON, WAXED	
				
			PROOFED	
