0	DRAWING	TITLE	FIND
1	1007033	40 SECOND TIME DELAY ASSY	4
1	1007036	RELAY AND DIODE MODULE	3
3	1007034	DEMODULATOR ATTITUDE ERROR	2
1	1007065	BASE ASSY	1
			
		PROOFED	
