-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
X			2005936	SCHEMATIC	REF	
	X		2005916	SCHEMATIC	REF	
		X	2005010	SCHEMATIC	REF	
						
						
						
						
5			2004184-002	TRANSISTOR UNPOTTED	42	
4			2004183-001	DIODE	41	
1	1		1006750-25	RESISTOR	40	
1	1	1	1006750-56	RESISTOR	39	
4	4	4	2004154	TERMINAL	38	
AR	AR	AR	1006776-22	INSULATION, SLEEVING	37	
AR	AR	AR	1006776-21	INSULATION, SLEEVING	36	
AR	AR	AR	1006776-20	INSULATION, SLEEVING	35	
AR	AR	AR	1006757-9	WIRE, ELECTRICAL	34	
AR	AR	AR	1006757-8	WIRE, ELECTRICAL	33	
AR	AR	AR	1006757-1	WIRE, ELECTRICAL	32	
2	2	2	2004004-004	TRANSISTOR UNPOTTED	31	
	5	5	2004004-003	TRANSISTOR UNPOTTED	30	
1	1	1	1010376-3	TRANSISTOR	29	
1	1	1	2004112-002	DIODE	28	
	4	4	2004103-001	DIODE	27	
1	1	1	1006793-30	CAPACITOR	26	
1	1	1	1006777-28	CAPACITOR	25	
1	1	1	1006777-31	CAPACITOR	24	
1	1	1	1006755-57	CAPACITOR	23	
1	1	1	1006755-14	CAPACITOR	22	
2	2	2	1006755-79	CAPACITOR	21	
1	1	1	1006788-10	RESISTOR	20	
1	1	1	1006750-145	RESISTOR	19	
1	1	1	1006750-141	RESISTOR	18	
1	1	1	1006750-65	RESISTOR	17	
1	1	1	1006750-64	RESISTOR	16	
1	1	1	1006750-54	RESISTOR	15	
2	2	2	1006750-43	RESISTOR	14	
3	3	3	1006750-39	RESISTOR	13	
1	1	1	1006750-36	RESISTOR	12	
3	3	3	1006750-32	RESISTOR	11	
		1	1006750-28	RESISTOR	10	
7	7	7	1006750-24	RESISTOR	9	
1	1	1	1006760-22	RESISTOR	8	
1	1	1	1006750-16	RESISTOR	7	
3	3	3	1006750-15	RESISTOR	6	
1	1	1	1006750-11	RESISTOR	5	
1	1	1	1006750-8	RESISTOR	4	
4	4	4	2004054	SPACER	3	
1	1	1	2004059	WIRING BOARD, BOTTOM	2	
1	1	1	2004058	WIRING BOARD, TOP	1	
						
X	X	X	X	PROOFED	REF	X
