FIND	0	DRAWING	TITLE
1	AR	1010807-4	WIRE, 28 AWG, WHT
2	AR	1010807-5	WIRE, 24 AWG, WHT
3	AR	1010807-7	WIRE, 24 AWG, WHT, RED
4	AR	1010807-6	WIRE, 28 AWG, WHT, RED
5	AR	1010807-8	WIRE, 28 AWG, WHT, RED, BLU
6	AR	1010807-9	WIRE, 24 AWG, WHT, RED, BLU
7	AR	1010807-10	WIRE, 28 AWG, WHT, RED, BLU, GRN
8	AR	1010807-23	WIRE, 28 AWG, WHT, WHT JKT
9	AR	1010807-15	WIRE, 28 AWG, WHT, RED, WHT JKT
10	AR	1010707-2	WIRE, 29 AWG, WHT, RED, BLU, RED JKT
11	26	1010490-118	INSULATION SLEEVING, HEAT SHRINK
12	AR	1006776-99	INSULATION SLEEVING, RED
13	218	1010490-114	INSULATION SLEEVING, HEAT SHRINK
14	8	1010763-2	SLEEVE SOLDER, ELECTRICAL, HEAT SHRINK
15	AR	1008850-002	WIRE, 28 AWG BUS
16	AR	1010807-14	WIRE, 28 AWG WHT, RED, BLU, WHT JKT
			
			PROOFED
