-11	0	DRAWING	TITLE	FIND	STRIKE
X		1005760	WIREWRAP CARD DECK	REF	
AR	AR	1006732-1	WIRE, ELECTRICAL	2	
1	1	1004585	PLATE, DECODING MODULE	1	
					
X	X	X	PROOFED	REF	X
