-021	-011	-000	FIND	DRAWING	TITLE
1			5	6011815-021	HOUSING, LENS, ASSY OF
	1		4	6011815-011	HOUSING, LENS, ASSY OF
	1	1	3	NAS1352CO2LL3	SCREW, CAP, HEX SOC HD, SELF-LOCKING
1	1	1	2	6011834	ADJUSTABLE EYEGUARD ASSY
		1	1	6011815-000	HOUSING, LENS, ASSY OF
					
					PROOFED
