-11	DRAWING	TITLE	FIND	STRIKE
18	2004706-001	INSERT, KNURLED	5	
1	MS21209F6-16	INSERT, THREADED, SELF-LOCKING	4	X
3	MS21209F1-15	INSERT, THREADED, SELF-LOCKING	3	
60	MS21209C0815	INSERT, THREADED, SELF-LOCKING	2	
1	2004167-001	TRAY B, MACHINED	1	
