-021	-011	FIND	DRAWING	TITLE
2		19	6010664	SHELL, ELECT. CONN.
1		18	6010661	BASE, ELECT. CONN.
4		17	MS171433	PIN, SPRING
4		16	2004148-010	WASHER
4		15	1004207	DRIVE CYLINDER
2		14	1008827-003	SCREW, CAPTIVE
6		13	2010768	GASKET
2		12	2010767-002	WASHER, STEP
4		11	-001	WASHER, STEP
4		10	2010782-001	SCREW, JACK
	6	9	1004546-3	WASHER, FLAT
	4	8	-1	WASHER, FLAT
	4	7	MS16633-4015	RING, RETAINING, EXTERNAL
	4	6	1004579-3	SCREW, JACKING
	2	5	1008827-1	SCREW, CAP, SOC HD, CAPTIVE
12	12	4	1006783-18	SCREW, BUTTON HD
172	172	3	1010956-1	INSULATOR, BUSHING WRAPOST
	1	2	6008024	BASE, ELEC CONN (INSEP ASSY)
	2	1	6014528	SHELL, ELEC CONN (INSEP ASSY)
				
				PROOFED
