-11	DRAWING	TITLE	FIND	STRIKE
X	1006147	SCHEMATIC	REF	
				
				
				
2	SEE NOTE 16	RESISTOR	35	
2	MS16633-4015	RING, RETAINING, EXTERNAL, “E”	34	
2	1004546-1	WASHER, FLAT	33	
AR	1006879	COMPOUND THERMOCONDUCTIVE	32	
2	1004546-3	WASHER, FLAT	31	
2	1004579-1	SCREW, JACKING	30	
2	1004207	DRIVE CYLINDER	29	X
4	1006273-11	SCREW, CAP, BUTTON HEAD	28	
AR	1006757-8	WIRE, ELECTRICAL	27	
AR	1006757-1	WIRE, ELECTRICAL	26	
AR	1006776-22	INSULATION, SLEEVING	25	
8	1004117	PLUG, KEYING	24	X
2	1008145	PIN, SPRING	23	X
24	1003089-1	TRANSISTOR POTTED	22	
15	1003520-1	TRANSISTOR POTTED	21	
4	1003520-2	TRANSISTOR POTTED	20	
14	1010406-10	COIL	19	
4	SEE NOTE 16	RESISTOR	18	
4	1006750-28	RESISTOR	17	
62	1006751	DIODE	16	
6	1006750-35	RESISTOR	15	
9	1006750-39	RESISTOR	14	
1	1006755-69	CAPACITOR	13	
3	1006788-8	RESISTOR	12	
3	1006750-49	RESISTOR	11	
3	1006750-53	RESISTOR	10	
8	SEE NOTE 16	RESISTOR	9	
8	1006750-22	RESISTOR	8	
21	1006750-15	RESISTOR	7	
13	1006750-43	RESISTOR	6	
1	1004269-2	INSULATOR	5	
1	1004269-1	INSULATOR	4	
1	1003169	MATRIX ASSY	3	
1	1003112	COVER	2	
1	1003170	HEADER, HOUSING ASSY	1	
				
X	X	PROOFED	REF	X
