FIND	-11	DRAWING	TITLE
10	12	1000076-13	NUT, CLINCH
9	2	MS21209CO-615	(1897059-006) INSERT, SCREW THREAD
8	9	MS21209CO-415	(1897059-004) INSERT, SCREW THREAD
7	2	MS21208F1-15	(1897110-151) INSERT, SCREW THREAD
6	8	MS21209F1-15	(1897059-201) INSERT, SCREW THREAD
5	1	2021362	SHELL, STORAGE CASE, SEXTANT EYEPIECE
4	1	2021363	SHELL, STORAGE CASE, TELESCOPE EYEPIECE
3	1	2021364	SHELL, STORAGE CASE, SEXTANT LONG EYEPIECE
2	1	2021365	SHELL, STORAGE CASE, LONG EYEPIECE RELIEF
1	1	2021439-001	FRAME, STORAGE CASE
			
			PROOFED
