-41	-31	-21	-11	FIND	DRAWING	TITLE
1				10	2018601-131	INERTIAL MEASURING UNIT ASSY
	1			9	2018601-141	INERTIAL MEASURING UNIT ASSY
1		1		8	2018697	WIRING HARNESS “D”
	1		1	7	2018698	WIRING HARNESS “D”
AR	AR	AR	AR	6	1012507-4	LACING TAPE
AR	AR	AR	AR	5	MIL-I-15126 TYPE MFT 2.5 .38 WIDE	MYLAR TAPE
AR	AR	AR	AR	4	2021593	ADHESIVE
1	1	1	1	3	2018795	PLATE, IDENTIFICATION
		1		2	2018601-031	INERTIAL MEASURING UNIT ASSY
			1	1	2018601-021	INERTIAL MEASURING UNIT ASSY
						
						PROOFED
