FIND	0	DRAWING	TITLE
1	10.0 INCHES	MIL-W-16878 ET 26 BRN	WIRE
2	10.0 INCHES	MIL-W-16878 ET 26 RED	WIRE
3	10.0 INCHES	MIL-W-16878 ET 28 YEL	WIRE
4	10.0 INCHES	MIL-W-16878 ET 28 WHT/ORN	WIRE
5	10.0 INCHES	MIL-W-16878 ET 28 ORN	WIRE
6	10.0 INCHES	MIL-W-16878 ET 28 BLU	WIRE
7	10.0 INCHES	MIL-W-16878 ET 28 WHT/GRN	WIRE
8	10.0 INCHES	MIL-W-16878 ET 28 GRN	WIRE
9	0.5 INCHES	QQ-W-343 SOLID 26 AWG TIN COATED	WIRE
10	AR	QQ-S-571 SN60 WARP2	SOLDER
11	AR	QQ-S-571 SN60 WS	SOLDER
12	AR	MIL-F-14256	FLUX
			
			PROOFED
