-11	-21	DRAWING	TITLE	FIND	STRIKE
X		2005931	SCHEMATIC	REF	
	X	2005106	SCHEMATIC	REF	
					
					
1		2003109-021	CORE STACK ASSY ERASABLE MEMORY	14	
1		2003112-021	DIODE BLOCK ASSY ERASABLE MEMORY	13	
AR	AR	1006776-22	INSULATION SLEEVING ELECTRICAL	12	
	1	SEE NOTE 9	CAPACITOR	11	X
AR	AR	1006776-20	INSULATION SLEEVING ELECTRICAL	10	
1	1	2004039	TERMINAL, THREADED	9	
2	2	2004984-001	WASHER, FLAT	8	
2	2	MS16633-4015	RING RETAINING EXTERNAL “E”	7	
2	2	2004984-003	WASHER, FLAT	6	
2	2	1004579-1	SCREW, JACKING	5	
AR	AR	1006776-21	INSULATION SLEEVING	4	
AR	AR	1006757-8	WIRE	3	
	1	2003112-011	DIODE BLOCK ASSY ERASABLE MEMORY	2	
	1	2003109-011	CORE STACK ASSY ERASABLE MEMORY	1	
