FIND	0	DRAWING	TITLE
7	2	NAS 1395C5L	INSERT, HEAVY DUTY, SELF-LOCKING
6	1	1899969-6	RING, SNUBBER
5	1	1899969-5	WASHER
4	2	1899969-4	INSERT, RESILIENT
3	1	1899969-3	INSERT, RESILIENT
2	1	1899969-2	CORE
1	1	1899969-1	ISOLATOR, HOUSING
			
			PROOFED
