-21	-11	FIND	DRAWING	TITLE
1		18	2021443-011	CASE AND COVER ASSEMBLY
1	1	17	2021387	BRACKET CONNECTOR
12	12	16	NAS1352CO4-6	(1897014-014) SCREW CAP
2	2	15	1010785-8	PACKING, PREFORMED
4	4	14	MS51957-45	SCREW, PAN HEAD
2	2	13	2014760	SCREW, CAPTIVE
1	1	12	2021389	COVER CONNECTOR
1	1	11	1008949-003	CLAMP, CABLE
1	1	10	2021403	BRACKET SUPPORT LEFT HAND
1	1	9	1004260-571	NAMEPLATE
16	16	8	MS21045CO4	(1897082-106) NUT SELF LOCK
4	4	7	MS51957-15	SCREW, PAN HD
4	4	6	1011918-3	WASHER, CABLE CLAMP
3	3	5	1008949-005	CLAMP, CABLE
	1	4	2021381-011	CASE & COVER ASSY
8	8	3	MS16996-10	SCREW SOCKET HD
10	10	2	AN960C10L	(1897006-019) WASHER, FLAT
1	1	1	2021404	BRACKET SUPPORT RIGHT HAND
				
				PROOFED
