-11	DRAWING	TITLE	FIND	STRIKE	NOTE
AR	TBD	GASK-O-SEAL	2		The original drawing does not specify a part number for GASK-O-SEAL, which (in 2019) is a product with many variations from Parker Hannifin Corporation. 
1	2003054-001	"COVER, ""A"""	1		
					
X	X	PROOFED	REF	X	
