-11	DRAWING	TITLE	FIND	STRIKE
X	2010003	SCHEMATIC	REF	
AR	1010848-2	WIRE, ELECTRICAL	51	
1	1010966-1	TRANSISTOR	50	
1	1008070-5	WASHER, FLAT	49	
1	MS35650-44	NUT	48	
1	MS35234-22	SCREW, PAN HEAD	47	
1	1010889	TRANSFORMER	46	
1	1010315-2	TRANSFORMER	45	
1	1006319	TRANSFORMER	44	
1	1010843-2	TRANSISTOR	43	
2	1010343-2	TRANSISTOR	42	
1	1010652-4	TRANSISTOR	41	
			40	
2	1010777-2	DIODE	39	
4	1010385	DIODE	38	
1	1010372-22	DIODE, ZENER	37	
3	1010393-045	CAPACITOR	36	
1	1006789-002	CAPACITOR	35	
2	1006777-30	CAPACITOR	34	
1	SEE NOTE 21	CAPACITOR	33	
1	SEE NOTE 21	CAPACITOR	32	
2	1010410-20	CAPACITOR	31	
2	1010410-6	CAPACITOR	30	
1	1006750-66	RESISTOR	29	
2	1010369-148	RESISTOR	28	
2	1006750-19	RESISTOR	27	
2	1010363-613	RESISTOR	26	
3	1010364-443	RESISTOR	25	
2	1006750-70	RESISTOR	24	
1	1006750-49	RESISTOR	23	
1	1006750-43	RESISTOR	22	
3	1006750-56	RESISTOR	21	
1	1006750-37	RESISTOR	20	
AR	1006776-20	INSULATION SLEEVING	19	
			18	
AR	1006776-21	INSULATION SLEEVING	17	
AR	1006757-23	WIRE, ELECTRICAL	16	
			15	
AR	1006757-1	WIRE, ELECTRICAL	14	
3	1008025-1	INSULATOR, BUSHING	13	
2	2008013-8	TERMINAL – LUG	12	
4	MS20341-10B	NUT	11	
4	2008020-1	BUSHING, INSULATOR	10	
4	1008071-2	WASHER, FLAT	9	
8	1008024-1	WASHER, INSULATOR	8	
1	1008540-12	GASKET	7	
12	1006775	INSULATOR, WRAPOST – MALE, MINIATURE	6	
12	1006782-5	CONTACT, WRAPOST – MALE, MINIATURE	5	
1	2008093-000	TERMINAL THREADED	4	
			3	
			2	
1	2008159	HEATSINK	1	
				
X	X	PROOFED	REF	X
