FIND	0	DRAWING	TITLE	STRIKE
2	25'	1010789-006	WIRE	
3	25'	-001	WIRE	
4	720'	-016	WIRE	
5	180'	-002	WIRE	
6	35'	-024	WIRE	
7	190'	-008	WIRE	
8	40'	-003	WIRE	
9	160'	-017	WIRE	
10	40'	-009	WIRE	
11	15'	-018	WIRE	
12	10'	-005	WIRE	
13	10'	-019	WIRE	
14	7'	-011	WIRE	
15	20'	-012	WIRE	
16	380'	-015	WIRE	
18	5'	-013	WIRE	
19	1	1010929-101	CONNECTOR, PLUG, ELECTRICAL	
20	1	-102	CONNECTOR, PLUG, ELECTRICAL	
21	1	-103	CONNECTOR, PLUG, ELECTRICAL	
22	1	-201	CONNECTOR, PLUG, ELECTRICAL	
23	1	-202	CONNECTOR, PLUG, ELECTRICAL	
24	1	-203	CONNECTOR, PLUG, ELECTRICAL	
25	1	-204	CONNECTOR, PLUG, ELECTRICAL	
26	1	-206	CONNECTOR, PLUG, ELECTRICAL	
27	1	1010947-205	CONNECTOR, PLUG, ELECTRICAL	
28	1	-101	CONNECTOR, PLUG, ELECTRICAL	
REF	X	1010770-1	CONTACT PIN, SUPPLIED WITH CONNECTOR 1010929	
REF	X	-2	CONTACT SOCKET, SUPPLIED WITH CONNECTOR 1010929	
REF	X	1010964-2	CONTACT SOCKET, SUPPLIED WITH CONNECTOR 1010929	
REF	X	1010963-4	CONTACT PIN, SUPPLIED WITH CONNECTOR 1010929	
33	261	1010955-1	CONTACT, MALE	
34	605	-2	CONTACT, MALE	
35	190	1010958-1	PLUG, PROTECTIVE	
36	6	-5	PLUG, PROTECTIVE	
37	232	1010402-2	SLEEVE, SOLDER	
38	2	1010490-110	INSULATION, SLEEVING (HEAT SHRINKABLE)	
40	2	2014670-4	ADAPTER, CONNECTOR	
41	1	-15	ADAPTER, CONNECTOR	
43	AR	MIL-T-23594 TYPE II 1/4” WIDE	TAPE, TEFLON	X
45	AR	1008960-002	TAPE, TEFLON	
46	AR	1012503	COMPOUND, POTTING, POLYURETHANE	
50	1	2014670-1	ADAPTER, CONNECTOR	
51	1	-16	ADAPTER, CONNECTOR	
53	AR	1010661	EPOXY RESIN	
54	AR	1010679	ADHESIVE, ACTIVATOR	
57	AR	1012504	PRIMER, METAL PARTS	
58	1	6014531-021	CONNECTOR ASSY, ELECT.	
59	1	6014532-021	CONNECTOR ASSY, ELECT.	
60	1	2014741-021	CONNECTOR PLUG, ELECT.	
61	1	2014749-021	CONNECTOR PLUG, ELECT.	
62	7	1010958-2	PLUG, PROTECTIVE	
70	17	MS25036-52	TERMINAL LUG	
71	17	1006783-18	SCREW, BUTTON HD	
76	9	2021203	TERMINAL LUG, SOLDER	
77	9	MS35333-69	WASHER, LOCK	
78	9	1006783-93	SCREW, BUTTON HD	
79	300'	1010989	TAPE, SHIELDING, EMI/RFI	
89	4	2014670-11	ADAPTER, CONNECTOR	
90	1	-13	ADAPTER, CONNECTOR	
91	5	1010490-286	SLEEVING, INSULATION (HEAT SHRINKABLE)	
92	5	1010945-1	SPLICE-REDUCER	
93	866	1010490-114	INSULATION, SLEEVING (HEAT SHRINKABLE)	
94	AR	QQ-S-571 SN60WRAP	SOLDER	
95	AR	QQ-S-571 SN60WS	SOLDER	
96	AR	MIL-F-14256 TYPE A OR W	FLUX	
97	AR	1008822	COLORANT, EPOXY BASE	
98	AR	1006277	SILICA, PULVERIZED PYROGENIC	
99	28	1010811-002	BAND, CABLE	
101	AR	1008936-001	TAPE, LACING AND TYING	
102	AR	1008937-001	TAPE, ALUMINUM FOIL	
103	AR	-002	TAPE, ALUMINUM FOIL	
104	AR	-003	TAPE, ALUMINUM FOIL	
105	AR	-005	TAPE, ALUMINUM FOIL	
106	AR	-006	TAPE, ALUMINUM FOIL	
107	AR	-007	TAPE, ALUMINUM FOIL	
108	10	1008940-001	BAND, MARKER	
109	AR	1010748	RESIN, EPOXY	
110	AR	1010750	CURING AGENT, POLYAMIDE	
				
			PROOFED	
