-11	DRAWING	TITLE	FIND	STRIKE
X	1009569	WIRING DIAGRAM	REF	
1	1008642	WIRE LIST AA	28	
			27	
1	1008641	WIRING HARNESS D	26	
1	1008640	WIRING HARNESS C	25	
1	1008639	WIRING HARNESS B	24	
1	1008638	WIRING HARNESS A	23	
1	1008552	GASKET, CONNECTOR	22	
1	1008553	GASKET, CONNECTOR	21	
2	MS21045C04	NUT, SELF-LOCKING HEX	20	
2	MS16995-11	SCREW, CAP, SOCKET HEAD	19	
2	MS16995-10	SCREW, CAP, SOCKET HEAD	18	
19	MS171433	PIN SPRING	17	X
19	1004207	DRIVE SYLINDER	16	X
1	1008099-2	WASHER	15	
38	1004206	WASHER, THRUST	14	X
1	1008098	SCREW, SOCKET HEAD	13	
19	1008172	SCREW, JACK	12	X
1	1001317	RETAINER, JACK SCREW	11	
2	1010620-5	PIN, GUIDE	10	
16	MS16556-604	PIN, GUIDE	9	
1	1010821-1	CONNECTOR, RECEPTACLE	8	
60	1010383-1	INSULATOR, WRAPOST – MALE	7	
60	1010382-1	CONTACT, BLADE EDGE CONN	6	
45	1006782-2	CONTACT, WRAPOST – MALE, MIN	5	
45	1006775	INSULATOR, WRAPOST – MALE, MIN	4	
223	1006781-2	CONTACT, WRAPOST – FEMALE, MIN	3	
223	1006774	INSULATOR, WRAPOST – FEMALE, MIN	2	
1	1008529	FRAME	1	
				
		PROOFED		
