-011	FIND	DRAWING	TITLE	STRIKE
36	10	MS15795-805	WASHER, FLAT	
36	9	NAS1352-06-8	SCREW, CAP SOCKET HEAD	
1	8	1007517-011	AC DIFF AMPL	
1	7	1007419-011	INTERROGATOR	
3	6	1007416-011	TERNARY CURRENT SWITCH	
3	5	1007507-011	DC DIFF AMPL & PVR	
1	4	1007009	PIPA CALIBRATION	X
2	3	1007021	PULSE TORQUE TYRO CALIBRATE	X
1	2	1007427-011	BINARY CURRENT SWITCH	
1	1	1021214-011	FRAME ASSEMBLY	
				
			PROOFED	
