-21	-11	FIND	DRAWING	TITLE
1		3	1016909	PANEL (INSEPARABLE) ASSY
4	4	2	1017535	SCREW, CAP SOCKET HEAD
	1	1	1017537	PANEL (INSEPARABLE) ASSY
				
				PROOFED
