FIND	-11	DRAWING	TITLE
9	8	1010490-112	INSULATION-SLEEVING, ELECTRICAL, HEAT SHRINKABLE
8	2	1010490-060	INSULATION-SLEEVING, ELECTRICAL, HEAT SHRINKABLE
7	AR	1010416-13	WIRE, ELECTRICAL, STRANDED, INSULATED
6	AR	1010416-11	WIRE, ELECTRICAL, STRANDED, INSULATED
5	AR	1006776-25	INSULATION, SLEEVING ELECTRICAL
4			
3	1	1011748-2	CONNECTOR, ELECTRICAL (J4)
2	4	MS24367-715	LAMP, INCANDESCENT
1	1	2011689	HOUSING, LAMP
			
			PROOFED
