0	DRAWING	TITLE	FIND	STRIKE
X	1010240	SCHEMATIC	REF	
				
1	2008093-002	TERMINAL THEREADED	24	
AR	1006776-22	INSULATION SLEEVING	23	
AR	1006776-21	INSULATION SLEEVING	22	X
AR	1006848-2	WIRE, ELECTRICAL	21	
AR	1006757-1	WIRE, ELECTRICAL	20	
1	1010466	TRANSFORMER	19	
1	1010357-1	TRANSISTOR	18	
1	1008860-1	CAPACITOR	17	
1	1006755-15	CAPACITOR	16	
1	1010259	DIODE	15	
1	1010372-20	DIODE	14	
5	1010837-001	DIODE	13	
4	1010364-251	RESISTOR	12	
9	1006750-67	RESISTOR	11	
9	1006750-49	RESISTOR	10	
1	1006750-45	RESISTOR	9	
1	1006750-10	RESISTOR	8	
1	1010779-18	CONNECTOR RECEPTACLE ELEC	7	
2	1010618-4	SCREW, BUTTON HEAD	6	
4	1008161-1	SCREW, CAP SLOTTED HEAD	5	
2	1015135-015	SPACER NYLON	4	
1	1008237	WIRING BOARD, TOP	3	
1	1008239	WIRING BOARD, BOTTOM	2	
1	1008246	FRAME	1	
				
		PROOFED		
