-11	DRAWING	TITLE	FIND
X	1005702	FLOW DIAGRAM AND SCHEMATIC	REF
			
			
			
5	1010406-6	COIL, RF, CHOKE	23
19	1006762-2	TRANSFORMER, PULSE	22
19	1003520-1	TRANSISTOR, POTTED	21
19	1006751	DIODE	20
5	1006755-79	CAPACITOR	19
10	1006755-2	CAPACITOR	18
10	1006750-63	RESISTOR	17
13	1006750-39	RESISTOR	16
19	1006750-32	RESISTOR	15
38	1006750-8	RESISTOR	14
AR	1006776-22	INSULATION, SLEEVING	13
AR	1006757-1	WIRE, ELECTRICAL	12
AR	1006757-8	WIRE, ELECTRICAL	11
19	1004709	INSULATOR, TRANSISTOR	10
1	1004708	INSULATOR “D”	9
1	1004707	INSULATOR “C”	8
1	1004706	INSULATOR “B”	7
1	1004705	INSULATOR “A”	6
2	MS16633-4015	RING, RETAINING EXT “E”	5
2	1004546-3	WASHER, FLAT	4
2	1004546-1	WASHER, FLAT	3
2	1004579-1	SCREW, JACKING	2
1	1003711	HEADER HOUSING ASSY	1
