0	DRAWING	TITLE	FIND
AR	1006776-21	INSULATION SLEEVING ELECT	22
AR	-20	INSULATION SLEEVING ELECT	21
AR	1006757-9	WIRE ELECTRICAL	20
AR	-1	WIRE ELECTRICAL	19
1	1008143	BUS BAR, DOUBLE LUG	18
2	1008142	BUS BAR, DOUBLE LUG	17
AR	1006776-18	INSULATION SLEEVING ELECT	16
AR	QQ-W-343 TYPE S SOFT TIN COATED	WIRE, ELECT – COPPER #18 GA	15
2	MS20341-416B	NUT	14
2	1008071-5	WASHER, FLAT	13
2	1008024-4	WASHER, INSULATOR	12
2	-3	WASHER, INSULATOR	11
2	1008021-2	BUSHING, INSULATOR	10
AR	MIL-I-15126 TYPE MFT, 1/2 WIDE	INSULATION SLEEVING ELECT	9
AR	1006757-8	WIRE ELECTRICAL	8
AR	1006776-22	INSULATION SLEEVING ELECT	7
26	1006782-5	CONTACT, WRAPOST – MALE	6
26	1006775	INSULATOR, WRAPOST – MALE	5
1	1010391-1	DIODE	4
2	1010636-1	DIODE	3
1	1010637-1	CAPACITOR	2
1	1007094	HEATSINK	1
			
		PROOFED	
