FIND	-11	DRAWING	TITLE
62	AR	1008985	GREASE, FLOURINATED
61	AR	1011777-1	INDIUM FOIL
60	AR	1010900	PRIMER COATING
59	AR	1012515	COMPOUND, POTTING
58	AR	1012514	CATALYST
57	AR	1008953-003	COMPOUND, SEALING & RETAINING
56	AR	1010686	CATALYST
55	AR	1010657	EPOXY RESIN
54	24.0	1010789-003	WIRE
53	2	MS24367-715	LAMP
52	4	MS16995-3	SCREW, SOCKET HD, CAP
51	1	2013377	WEDGE ASSY
50	1	2013389	WASHER, WAVE
49	2	MS51021-3	SCREW, SET
48	4	MS51959-1	SCREW, FLAT HEAD
47	1	2013451	WASHER, WAVE
46	1	MS16624-1012	RING RETAINING EXTERNAL
45	1	2013359	PIN, PLAIN, TAPER
44	5	MS16995-4	SCREW, CAP
43	1	2013453	SPACER
42	3	MS35249-2	SCREW, FLAT HEAD
41	2	MS24692-3	PIN, TAPER
40	1	MS51021-21	SCREW, SET
39	AR	1010708-5	WIRE, MOD. MONOCHLOROTRIFLOUROETHYLENE INSULATION, SOLID COPPER ALLOY
38	1	2013450	COVER, DUST
37	2	2013459	SPACER
36	1	2013456	WINDOW
35	1	2013386	MAGNIFIER LENS
34	1	2013387	BEZEL
33	22	1010356-6	BEARING
32	1	2013388	BEAMSPLITTER
31	1	2013390	RING, BEARING
30	1	2013353	MIRROR HOUSING
29	1	2013356	WINDOW
28	1	2013399	RING, THREADED
27	1	2013352	MIRROR, FIXED
26	3	2013281	WASHER, WAVE
25	3	2013355	BUSHING, MIRROR
24	2	2013372	GEAR, BEVEL (48T, 96P)
23	1	2013364	LIMIT STOP
22	1	2013365	LIMIT STOP
21	1	2013361	ADAPTER, LIMIT STOP
20	1	2013371	SHAFT
19	1	2013362	RING, LOCKING
18	1	2013385	DRUM
17	1	2013393	GEAR, SPUR (43T, 96P)
16	1	2013392	GEAR, SPUR (95T, 96P)
15	1	2013354	WASHER, FLAT
14	2	2013319-003	PIN, DOWL
13	6	2013391	GEAR, SPUR (33T, 96P)
12	1	2013394	GEAR, SPUR (51T, 96P)
11	1	2013395	GEAR, SPUR (25T, 96P)
10	1	2013368	TERMINAL BOARD ASSY
9	4	MS16995-10	SCREW, CAP
8	1	MS51021-10	SCREW, SET
7	2	MS16995-2	SCREW, CAP
6	1	2013381	HOUSING AND GEARPLATE ASSY (MACH)
5	1	2013370	HOUSING, BEVEL GEAR, PIN ASSY
4	1	2013460	BRACKET MIRROR ASSY
3	1	2013357	KNOB AND PIN ASSY
2	1	2013380	SPUR GEAR
1	1	2013375	SPUR GEAR AND WEDGE ASSY
			
			PROOFED
