FIND	0	DRAWING	TITLE	STRIKE
11	1	2012789	PLUG, CONNECTOR POTTING CAP	
10	7	1010770-1	CONTACT, CRIMP STYLE	
9	AR	1012503	COMPOUND, POLYURETHANE	
8	1	1012788	CONNECTOR POTTING CAP	
7	AR	1010490	SLEEVING, SHRINK	
6	1	1000170-12	FUSE, PIGTAIL, SUB MINIATURE	
5	1	1012516-002	TERMINAL, STUD	
4	2	1010623-2	TERMINAL, TURRET	
3	1	2012785	ADAPTER, POTTING	
2	1	1010929-117	CONNECTOR, PLUG, ELECTRICAL	
1	1	1010789-013	CABLE	
				
REF	X	X	PROOFED	X
