-11	DRAWING	TITLE	FIND	STRIKE
X	1009506	SCHEMATIC	REF	
				
AR	1010848-2	WIRE, ELECTRICAL – NICKEL	17	
AR	1006776-21	INSULATION SLEEVING	16	
AR	1006776-20	INSULATION SLEEVING	15	
6	1008554	GASKET, CONNECTOR MINIATURE	14	
6	1010353-4	RELAY	13	
4	1010392-1	DIODE	12	
6	1010362-003	DIODE	11	
AR	1006776-22	INSULATION SLEEVING	10	X
AR	1006757-8	WIRE, ELEC .020 DIA	9	X
AR	1006757-1	WIRE, ELEC .010 X .020	8	
8	1008161-3	SCREW, CAP SLOTTED HD (SPECIAL)	7	
2	1015135-015	SPACER	6	
54	1006782-5	CONTACT, WRAPOST – MALE, MIN	5	
54	1006775	INSULATOR, WRAPOST – MALE, MIN	4	
1	1008539	WIRING BOARD, BOTTOM	3	
1	1008537	WIRING BOARD, TOP	2	
1	1007592	FRAME	1	
				
		PROOFED		
