-11	0	FIND	DRAWING	TITLE
2		13	MS35338-81	LOCKWASHER
4		12	AN960-C10L	FLAT WASHER (LIGHT SERIES)
2		11	2012749-001	SCREW, CAPTIVE, KNURLED HEAD
	2	10	2012749-000	SCREW, CAPTIVE, KNURLED HEAD
1	1	9	2012407-000	HOLDER & FILTER, ASSY OF (SXT EYEPIECE)
1	1	8	2012609-000	SXT EYEGUARD ASSEMBLY
4	4	7	1352C02LL4	SCREW, CAP, SOCKET HEAD – SELF LOCKING
1	1	6	2011874	RETAINER, ADJUSTMENT NUT
1	1	5	2011881	RING, ADJUSTING
2	2	4	1352C01LL2	SCREW, CAP, SOCKET HEAD – SELF LOCKING
1	1	3	2011882	KEY
1	1	2	2011880	PLATE, MOUNTING
1	1	1	2011793-000	HOUSING AND LENS, ASSY OF
