0	DRAWING	TITLE	FIND
X	2010036	SCHEMATIC	REF
			
1	1012056-6	DIODE	23
6	1010397-1	TRANSISTOR	22
1	1010362-002	DIODE	21
1	1010830-11	DIODE	20
2	1012056-1	DIODE	19
1	1006755-69	CAPACITOR	18
1	1010364-535	RESISTOR	17
2	1006750-15	RESISTOR	16
1	-56	RESISTOR	15
1	-73	RESISTOR	14
2	-67	RESISTOR	13
2	-32	RESISTOR	12
1	-49	RESISTOR	11
1	SEE DRAWING NOTE 12	RESISTOR	10
2	-71	RESISTOR	9
1	1010768-29	RESISTOR	8
AR	1006776-21	INSULATION SLEEVING ELECTRICAL	7
AR	-22	INSULATION SLEEVING ELECTRICAL	6
AR	1006757-8	WIRE, ELEC (.020 DIA)	5
AR	-1	WIRE, ELEC (.010 X .020)	4
1	2008209	INSERT THREADED	3
1	2008213	INSULATOR, BOTTOM	2
1	2008212	INSULATOR, TOP	1
			
		PROOFED	
