-11	DRAWING	TITLE	FIND
X	1006181	WIRING DIAGRAM	REF
244	1010738-2	CONTACT, ELEC, SOCKET	12
1	1010642-244	CONNECTOR, RECEPTACLE	11
1	1014472-5	BAND MARKER CABLE	10
244	1010733-1	CONTACT, ELEC PIN	9
AR	MIL-T-713 TYPE P CL 2	LACING, WAXED	8
2.5	1010685-13	WIRE, ELEC, AWG 26 BLACK	7
15.5	1010685-12	WIRE, ELEC, AWG 26 BLUE	6
38.5	1010685-10	WIRE, ELEC, AWG 26 RED	5
38.5	1010685-11	WIRE, ELEC, AWG 26 WHITE	4
38.5	1010685-8	WIRE, ELEC, AWG 26 2 COND SHIELDED	3
12	1010402-1	SLEEVE, SOLDER, ELECTRICAL	2
1	1010641-244	CONNECTOR, PLUG ELECTRICAL	1
			
		PROOFED	
