-31	-21	-11	DRAWING	TITLE	FIND	STRIKE
AR			1008936-001	LACING TAPE	18	
AR			1008937-007	TAPE, PRESSURE SENSITIVE ADHESIVE ALUMINUM FOIL BACKED	17	
	AR	AR	1012555-002	LACING TAPE	16	
1	1		2010771	BRACKET CONNECTOR	15	
1	1		2010772	BRACKET CONNECTOR	14	
1	1		2007094-021	HEADER SUBASSY	13	
33	33	33	1010958-001	PLUG, PROTECTIVE	12	
2	2	2	1008874-013	SCREW, CAP, SOCKET HEAD	11	
		1	2008361	BRACKET CONNECTOR	10	
6	6	6	1008874-012	SCREW, CAP, SOCKET HEAD	9	
2	2	2	1008874-014	SCREW, CAP, SOCKET HEAD	8	
1	1	1	1010930-101	CONNECTOR, RECEPTACLE, ELECTRICAL	7	
1	1	1	1010930-011	CONNECTOR, RECEPTACLE, ELECTRICAL	6	
AR	AR	AR	MIL-I-15126	MYLAR TAPE, TYPE MFT 2.5	5	
1	1	1	1008833-001	RESISTOR, TEMP SENSITIVE, WAFER	4	
		1	2008362	BRACKET CONNECTOR	3	
1	1	1	2014682	LEAD SET	2	
		1	2007094-011	HEADER SUBASSEMBLY	1	
						
X	X	X	X	PROOFED	REF	X
