0	FIND	DRAWING	TITLE	STRIKE
AR	8	1010878	LUBRICATING OIL HYDROCARBON	
AR	7	1010838	ADHESIVE, PRESSURE SENSITIVE, SILICONE	
2	6	2012659	SCREW, CAPTIVE, KNURLED HEAD	
1	5	2012715	INSULATION, THERMAL	
1	4	2012714	INSULATION, THERMAL	
1	3	2012706	SCREW, GUIDE	
1	2	2012713	LENS HOUSING, ASSY OF	
1	1	2012718	EYEPIECE HOUSING AND HEATER, ASSY OF	
				
X	REF	X	PROOFED	X
