0	DRAWING	TITLE	FIND
10	1006775	INSULATOR WRAPOST MALE	4
10	1006782-5	CONTACT WRAPOST MALE	3
1	1007073	HEATSINK	2
1	1007074	CDU RESOLVER LOADS MODULE SUB ASSY	1
			
		PROOFED	
