-21	-11	DRAWING	TITLE	FIND	STRIKE
X		2005935	SCHEMATIC	REF	
	X	2005012	SCHEMATIC	REF	
					
					
					
192		2004183-002	DIODE, MATCHED PAIR	4	
AR	AR	1006757-12	WIRE, ELECTRICAL	3	
	192	2004103-002	DIODE, MATCHED PAIR	2	
1	1	2004072	BLOCK COMPONENT DIODE	1	
					
X	X	X	PROOFED	REF	X
