0	FIND	DRAWING	TITLE
1	3	6011401	LENS, POSITIVE (TELESCOPE OBJECTIVE)
1	2	6011400	LENS, NEGATIVE (TELESCOPE OBJECTIVE)
1	1	6011140	HOUSING, LENS, OBJECTIVE
			
			PROOFED
