0	DRAWING	TITLE	FIND
AR	MIL-I-15126 TYPE MF-2.5 1/2” WIDE	MYLAR TAPE (CLEAR)	3
12"	1010416-3	WIRE, ELEC, STRD, INS, RED	2
1	2008237	CONTACT, ELECTRICAL PIN	1
			
		PROOFED	
