-11	FIND	DRAWING	TITLE
X	REF	1010248	SCHEMATIC
			
4	49	1008161-1	SCREW
2	48	1015135-017	SPACER
1	47	1010384	DIODE
2	46	1010362-001	DIODE
1	45	1010410-5	CAPACITOR
4	44	1010359-29	CAPACITOR
10	43	1010279-16	CAPACITOR
5	42	1006755-133	CAPACITOR
1	41	-130	CAPACITOR
10	40	-69	CAPACITOR
2	39	-34	CAPACITOR
2	38	-31	CAPACITOR
5	37	1007080-021	TRANSFORMER SHIELDED ASSEMBLY
5	36	-000	TRANSFORMER SHIELDED ASSEMBLY
1	35	1010398-1	TRANSISTOR
3	34	1010397-1	TRANSISTOR
10	33	1010367	TRANSISTOR
4	32	1010342	TRANSISTOR
1	31	1010278-15	RESISTOR
1	30	1010364-769	RESISTOR
1	29	-707	RESISTOR
1	28	1010311-315	RESISTOR
1	27	-118	RESISTOR
1	26	1006750-72	RESISTOR
1	25	-65	RESISTOR
1	24	1010768-58	RESISTOR
4	23	1010374-5	RESISTOR
4	22	-1	RESISTOR
8	21	1010364-719	RESISTOR
1	20	1010321-194	RESISTOR
1	19	1010311-259	RESISTOR
1	18	-126	RESISTOR
10	17	-1	RESISTOR
5	16	1006750-109	RESISTOR
2	15	-56	RESISTOR
4	14	-51	RESISTOR
10	13	-39	RESISTOR
10	12	-36	RESISTOR
1	11	-8	RESISTOR
AR	10	1006776-22	INSULATION, SLEEVING, ELECTRICAL
AR	9	-21	INSULATION, SLEEVING, ELECTRICAL
AR	8	1010848-2	WIRE, ELECTRICAL
AR	7	1006757-1	WIRE, ELECTRICAL
1	6	1010779-12	CONNECTOR, RECEPTACLE, ELECTRICAL
1	5	2008093-002	TERMINAL, THREADED
2	4	1010618-4	SCREW
1	3	1008319	WIRING BOARD (TOP)
1	2	1008318	WIRING BOARD (BOTTOM)
1	1	1008348	FRAME
			
			PROOFED
