-031	-021	-011	FIND	DRAWING	TITLE	STRIKE
4	4		34	NAS674V19	BOLT, HEX CAP	
2	2		33	2021204	BUSHING, SLEEVING – IMU MOUNT	
	6		32	1899971	SPRING – SEAL RETAINING	
	1		31	1899997-002	SEAL, PLAIN ENCASED	
	1		30	-001	SEAL, PLAIN ENCASED	
1	1		29	1898952	BELLOWS, SEXTANT (INSEP ASSY)	X
1	1		28	1899951	BELLOWS, ASSY, SCT	X
8		8	27	MS24671-8	SCREW, CAP – SOCKET HEAD. FLAT	
3	3	3	26	2899991	WASHER, SHOULDERED & RECESSED	
		6	25	1899971	SPRING – SEAL RETAINING	X
1		1	24	1010915-2	PACKING, PREFORMED, RETAINED	
1		1	23	-1	PACKING, PREFORMED, RETAINED	
1		1	22	1899996-002	SEAL, PLAIN ENCASED	
1		1	21	-001	SEAL, PLAIN ENCASED	
24		24	20	AN960C10L	(1897006-019) WASHER, FLAT	
24		24	19	AN363C1032	(1896990-011) NUT, SELF-LOCKING	
1		1	18	2898951-011	OPTICS TO SPACECRAFT SEAL ASSY (SXT)	
1		1	17	2898950-011	OPTICS TO SPACECRAFT SEAL ASSY (SCT)	
		2	16	NAS674V18	BOLT, HEX. CAP	
		2	15	2899992	BOLT, IMU MOUNT	
3	3	3	14	2899984-001	COLLAR, CENTERING	
6	6	6	13	2899979	WASHER, SPRING TENSION	
3	3	3	12	2899977-001	WASHER, FLAT, LUBRICATED	
3	3	3	11	1010728-3	BOLT, EXTERNAL WRENCHING	
			10			
3	3	3	9	1899967-001	BALL, PRECISION	
4	4	4	8	1010727-1	BOLT, INTERNAL WRENCHING	
4	4	4	7	AN960C616L	(1897006-063) WASHER, FLAT	
2	2	2	6	AN960C516L	(1897006-053) WASHER, FLAT	
2	2	2	5	1010727-3	BOLT, INTERNAL WRENCHING	
1	1	1	4	2899988-011	MOUNTING ASSEMBLY, PLANE	
1	1	1	3	2899987-011	MOUNTING ASSEMBLY, LINE	
1	1	1	2	2899986-011	MOUNTING ASSEMBLY, FIXED	
						
					PROOFED	
