FIND	0	DRAWING	TITLE	STRIKE
3	AR	1010730	CATALYST, EPOXY BUTADIENE ENAMEL	X
2	AR	1010729-1	RESIN, EPOXY BUTADIENE ENAMEL	X
1	1	6899963	BASE, NAVIGATION, LEM (BRAZED)	
				
			PROOFED	
