0	FIND	DRAWING	TITLE
AR	10	1010838	ADHESIVE, PRESSURE SENSITIVE, SILICONE
1	9	2012715	INSULATION, THERMAL
1	8	2012714	INSULATION, THERMAL
2	7	2012659	SCREW, CAPTIVE, KNURLED HEAD
1	6	1022974	GUARD, RUBBER
1	5	2011916	RING, LOCKING
1	4	2011824	LENS, POSITIVE
1	3	2011917	SPACER, LENS
1	2	2011730	LENS, ASSY OF
1	1	2012690	EYEPIECE HOUSING & HEATER, ASSY OF
