0	TITLE	DRAWING	FIND
AR	WIRE, INSULATED E-28	MIL-W-16878 BLUE	3
1	HEATER	SEE NOTE 6 ON DRAWING	2
1	THERMOSTAT, MERCURY	1000245	1
			
	PROOFED		
