-21	-11	DRAWING	TITLE	FIND
AR		1010750	CURING AGENT POLYAMIDE	14
AR		1010748	RESIN EPOXY	13
1		1008940-004	BAND, MARKER	12
1		1008940-002	BAND, MARKER	11
2		1008940-001	BAND, MARKER	10
AR		1008937-007	TAPE, PRESSURE SENSITIVE, ALUM, FOIL BACKED	9
AR		1008937-003	TAPE, PRESSURE SENSITIVE, ALUM, FOIL BACKED	8
AR		1008936-001	LACING TAPE	7
1		2021289	WIRING HARNESS “A”	6
	AR	1012555-002	LACING TAPE	5
AR	AR	1008895-003	TAPE, PRESSURE SENSITIVE, TEFLON	4
	1	2014802	WIRING HARNESS “A”	3
1	1	2014779	LEAD SET	2
1	1	2007269-011	HEADER SUBASSEMBLY	1
