-11	DRAWING	TITLE	FIND	STRIKE
X	1006099	SCHEMATIC	REF	
				
				
				
AR	1006776-22	INSULATION, SLEEVING	16	
AR	1006757-1	WIRE, ELECTRICAL, .010 X .020	15	
AR	1006757-8	WIRE, ELECTRICAL, .020 DIA	14	
50	1006753	TRANSISTOR	13	
10	1006752	TRANSISTOR	12	
52	1006751	DIODE	11	
10	1006750-15	RESISTOR	10	
100	1006750-39	RESISTOR	9	
50	1006750-32	RESISTOR	8	
10	1006750-43	RESISTOR	7	
1	1003130	MATRIX ASSY	6	
1	1004227-2	INSULATOR	5	
1	1004227-1	INSULATOR	4	
1	1004226-2	INSULATOR	3	
1	1004226-1	INSULATOR	2	
1	1004195	HOLDER, COMPONENT	1	
				
X	X	PROOFED	REF	X
