0	FIND	DRAWING	TITLE	STRIKE
1	8	2011965	SCT EYEGUARD ASSY	
1	7	2012707	RING, RETAINING	
1	6	2011707	LENS, ASSY OF	
1	5	2011660	SPACER, LENS	
1	4	2011708	LENS, ASSY OF	
1	3	2011661	SPACER, LENS	
1	2	2011967	LENS, ASSY OF	
1	1	2012708	HOUSING, LENS	
				
X	REF	X	PROOFED	X
