-011	DRAWING	TITLE	FIND
X	6010006	SCHEMATIC	REF
			
			
3	1006777-31	CAPACITOR	45
1	2001466	IRIG TEMPERATURE TELEMETRY AMPLIFIER	44
22	1006782-16	CONTACT, WRAPOST, MALE, MINAT.	43
22	1006775	INSULATOR, WRAPOST, MALE, MINAT.	42
1	2010728	PLATE, INSULATION	41
1	1008878 SEE DRAWING NOTE 27	RESISTOR	40
1	1008540-9	GASKET	39
1	-8	GASKET	38
1	-5	GASKET	37
1	2008093-000	TERMINAL, THREADED	36
1	1010466	TRANSFORMER	35
3	1010365	TRANSFORMER	34
3	1010274	TRANSFORMER	33
6	1010397-1	TRANSISTOR	32
6	1010367	TRANSISTOR	31
1	1010357-1	TRANSISTOR	30
1	1010837-001	DIODE	29
			28
1	1010259-001	DIODE	27
3	1010279-114	CAPACITOR	26
3	1006755-69	CAPACITOR	25
1	-182	CAPACITOR	24
3	-34	CAPACITOR	23
1	-15	CAPACITOR	22
3	1010364-769	RESISTOR	21
6	-735	RESISTOR	20
3	-707	RESISTOR	19
1	-251	RESISTOR	18
3	1006750-72	RESISTOR	17
3	-65	RESISTOR	16
3	-56	RESISTOR	15
3	-36	RESISTOR	14
7	-25	RESISTOR	13
1	-13	RESISTOR	12
AR	1006776-21	INSULATION, SLEEVING	11
AR	-20	INSULATION, SLEEVING	10
AR	1006757-1	WIRE, ELECTRICAL	9
AR	1010848-2	WIRE, ELECTRICAL	8
6	1008161-1	SCREW, CAP, SLOTTED HEAD, SPECIAL	7
3	1015135-015	SPACER, INSULATED	6
3	2010729	STUD, EXTENSION	5
1	2010727	WIRING BOARD, BOTTOM	4
1	6008041	WIRING BOARD, MIDDLE	3
1	6008039	WIRING BOARD, TOP	2
1	6008036	FRAME	1
			
		PROOFED	
