-002	-001	-000	FIND	DRAWING	TITLE
1			32	1011717-002	TELESCOPE PANEL & INSERT, ASSY OF
1	1		31	1011913-001	LAMP AND HARNESS, ASSY OF
	1		30	1011717-001	TELESCOPE PANEL & INSERT, ASSY OF
1	1		29	NAS1352CO2LL4	SCREW, CAP. SOC. HD SELF LOCKING
1	1		28	1000220-3	CLAMP, CABLE
1	1		27	MS15795-302	WASHER, FLAT
8	8	8	26	NAS1352CO2LL3	SCREW, CAP. SOC. HD SELF LOCKING
4	4	4	25	NAS1352CO1LL3	SCREW, CAP. SOC. HD SELF LOCKING
4	4	4	24	NAS1352CO1LL2	SCREW, CAP. SOC. HD SELF LOCKING
2	2	2	23	NAS1352CO6LL8	SCREW, CAP. SOC. HD SELF LOCKING
AR	AR	AR	22	1011753	TAPE, LACING & TYING
AR	AR	AR	21	1011885	SHIM
2	2	2	20	1011886	SPACER, CONNECTOR MTG. PLATE
		1	19	1011913-000	LAMP AND HARNESS, ASSY OF
2	2	2	18	1011826	PLATE, MASK
2	2	2	17	1011828	WEDGE, ILLUMINATING
2	2	2	16	1011830	GASKET, WEDGE, BOTTOM
2	2	2	15	1011699	BEZEL
2	2	2	14	1011768-28	PACKING, PREFORMED
2	2	2	13	1011829	WINDOW, GLASS
2	2	2	12	1011831	GASKET, WINDOW
2	2	2	11	1011770-3	RING, RETAINING
2	2	2	10	1011768-8	PACKING, PREFORMED
2	2	2	9	1011821	SPRING, HELICAL, COMPRESSION
2	2	2	8	1011768-14	PACKING, PREFORMED
2	2	2	7	1011820	SHAFT, MANUAL ADJUSTMENT
1	1	1	6	1011808	RING, RETAINING
1	1	1	5	1011768-32	PACKING, PREFORMED
1	1	1	4	1011816	WINDOW, GLASS
1	1	1	3	1011809	GASKET, WINDOW
			2		
		1	1	1011717	TELESCOPE PANEL & INSERT, ASSY OF
					
					PROOFED
