-11	DRAWING	TITLE	FIND
X	2005000	SCHEMATIC	REF
			
			
			
			
			
4	NAS620C-2	WASHER, FLAT	34
39	2004004-001	TRANSISTOR, POTTED	33
8	2004004-002	TRANSISTOR, POTTED	32
66	2004103-001	DIODE	31
9	1010406-7	COIL, RF, CHOKE	30
16	1010406-8	COIL, RF, CHOKE	29
9	1006755-79	CAPACITOR	28
1	1006755-69	CAPACITOR	27
4	1006788-7	RESISTOR	26
4	1006750-32	RESISTOR	25
21	1006750-49	RESISTOR	24
8	SEE NOTE 11	RESISTOR	23
8	SEE NOTE 11	RESISTOR	22
8	1006750-22	RESISTOR	21
1	1006750-43	RESISTOR	20
22	1006750-15	RESISTOR	19
9	1006750-39	RESISTOR	18
6	10067500-35	RESISTOR	17
4	1006750-28	RESISTOR	16
4	1006783-10	SCREW, BUTTON HEAD, HEX SOCKET	15
1	2004032	COVER	14
1	2003042-011	MATRIX ASSEMBLY	13
1	2004039	TERMINA, THREADED	12
AR	1006776-22	INSULATION, SLEEVING	11
AR	1006776-21	INSULATION, SLEEVING	10
AR	1006757-1	WIRE, ELECTRICAL	9
AR	1006757-8	WIRE, ELECTRICAL	8
2	MS16633-4015	RING, RETAINING, EXTERNAL, “E”	7
2	1004546-3	WASHER, FLAT	6
2	1004546-1	WASHER, FLAT	5
2	1004579-1	SCREW, JACKING	4
1	2004076-011	INSULATOR (B) ASSY	3
1	2004068	INSULATOR (A)	2
1	2003039-011	HEADER HOUSING ASSEMBLY	1
