-21	-11	DRAWING	TITLE	FIND
X		2005927	SCHEMATIC	REF
	X	2005922	SCHEMATIC	REF
				
				
16	16	2004184-001	TRANSISTOR	58
8	8	2004183-001	DIODE	57
1	1	1006750-53	RESISTOR	56
1	1	1006755-69	CAPACITOR	55
1	1	1006755-21	CAPACITOR	54
1	1	1006750-50	RESISTOR	53
1	1	1006750-36	RESISTOR	52
5	5	2004074	INSULATOR, WASHER	51
5	5	SEE NOTE 8	RESISTOR	50
9	9	1006750-39	RESISTOR	49
1	1	1006755-128	CAPACITOR	48
7	7	1010376-1	TRANSISTOR	47
15	15	2004004-002	TRANSISTOR	46
	16	2004004-001	TRANSISTOR	45
4	4	2004112-002	DIODE	44
	8	2004103-001	DIODE	43
2	2	1006777-25	CAPACITOR	42
1	1	1006777-24	CAPACITOR	41
1	1	1006777-20	CAPACITOR	40
1	1	1006755-79	CAPACITOR	39
4	4	1006755-57	CAPACITOR	38
1	1	1006755-36	CAPACITOR	37
1	1	1006755-31	CAPACITOR	36
2	2	1006788-6	RESISTOR	35
6	6	1010377-227	RESISTOR	34
3	3	1010377-51	RESISTOR	33
1	1	1010377-50	RESISTOR	32
6	6	1006750-84	RESISTOR	31
1	1	1006750-83	RESISTOR	30
1	1	1006750-63	RESISTOR	29
9	9	1006750-58	RESISTOR	28
15	15	1006750-56	RESISTOR	27
17	17	1006750-49	RESISTOR	26
16	16	1006750-47	RESISTOR	25
5	5	1006750-43	RESISTOR	24
1	1	1006750-41	RESISTOR	23
1	1	1006750-33	RESISTOR	21
5	5	1006750-32	RESISTOR	20
2	2	1006750-30	RESISTOR	19
3	3	1006750-25	RESISTOR	18
3	3	1006750-15	RESISTOR	17
1	1	1006750-17	RESISTOR	16
3	3	1006750-8	RESISTOR	15
2	2	1006750-6	RESISTOR	14
3	3	1006750-1	RESISTOR	13
AR	AR	1006776-22	INSULATION, SLEEVING	12
AR	AR	1006776-21	INSULATION, SLEEVING	11
AR	AR	1006757-8	WIRE, ELEC	10
AR	AR	1006757-1	WIRE, ELEC	9
1	1	2003990	INSULATOR B ASSEMBLY	8
1	1	2004719	INSULATOR A	7
1	1	2004039	TERMINAL, THREADED	6
2	2	MS16633-4015	RING, RETAINING, EXTERNAL, “E”	5
2	2	2004984-003	WASHER, FLAT	4
2	2	2004984-001	WASHER, FLAT	3
2	2	1004579-1	SCREW, JACKING	2
1	1	2003032-021	HEADER, HOUSING ASSY	1
