FIND	-11	DRAWING	TITLE
19	2	1010402-1	SLEEVING, SOLDER, ELECT. COND INSUL., HEAT SHRINKABLE
18	36.0	1010789-004	WIRE, ELECT, EXTRUDED TYPE, POLYMIDE COATED
17	200.0	1010789-003	WIRE, ELECT, EXTRUDED TYPE, POLYMIDE COATED
16	41	1010770-2	SOCKET, #22, CRIMP TYPE
15	1	2011798	PLATE AND CONNECTOR, ASSY OF
14	2	1010402-2	SLEEVING, SOLDER, ELECT. COND INSUL., HEAT SHRINKABLE
13	6	1010490-054	INSULATION-SLEEVING ELECTRICAL, HEAT SHRINKABLE
12	38	1010490-060	INSULATION-SLEEVING ELECTRICAL, HEAT SHRINKABLE
11	1	1010490-277	INSULATION-SLEEVING ELECTRICAL, HEAT SHRINKABLE
10	36.0	1010789-012	WIRE, ELECT, EXTRUDED TYPE, POLYMIDE COATED
9	7.0	1010789-006	WIRE, ELECT, EXTRUDED TYPE, POLYMIDE COATED
8	12.0	1010789-001	WIRE, ELECT, EXTRUDED TYPE, POLYMIDE COATED
7			
6	1	1010771-007	CONNECTOR, ELECT
5	1	MS25036-1	TERMINAL, LUG, CRIMP STYLE, COPPER, INSULATED
4	1	1011748-1	CONNECTOR, ELECTRICAL (P4)
3	1	1011646	CONNECTOR, ELECTRICAL (J3)
2	1	2011331	PLATE, CONNECTOR MOUNTING
1	2	1011758-1	CONNECTOR, ELECTRICAL (P2)(P5)
			
			PROOFED
