-21	-11	FIND	DRAWING	TITLE
	X	REF	1009533	SCHEMATIC, ELECTRICAL
X		REF	1015150	SCHEMATIC, ELECTRICAL
				
1	1	29	1008540-6	GASKET, CONNECTOR – MINAT
2	2	28	1008540-11	GASKET, CONNECTOR – MINAT
	1	27	1008540-683	GASKET, CONNECTOR – MINAT
	1	26	1008540-687	GASKET, CONNECTOR – MINAT
	1	25	1008540-533	GASKET, CONNECTOR – MINAT
	1	24	1008540-673	GASKET, CONNECTOR – MINAT
	1	23	1008540-727	GASKET, CONNECTOR – MINAT
	1	22	1010364-513	RESISTOR, FIXED
AR	AR	21	1006776-20	SLEEVING, ELECT. INSULATING
AR	AR	20	1006757-1	WIRE, NICKEL RIBBON - .010 X .020
AR	AR	19	1006776-22	SLEEVING, ELECT. INSULATING
AR	AR	18	1006776-21	SLEEVING, ELECT. INSULATING
AR	AR	17	1006787-2	WIRE, FEED THRU - #24 AWG
28	28	16	1006775	INSULATOR, WRAPOST – MALE MINAT
28	28	15	1006782-5	CONTACT, BLADE EDGE CONN.
1	1	14	1010372-18	SEMICONDUCTOR DEVICE, DIODE
4	4	13	1010397-1	TRANSISTOR
1	1	12	1006755-79	CAPACITOR, FIXED
4	4	11	1006755-65	CAPACITOR, FIXED
1	1	10	1006760-50	CAPACITOR, FIXED
4	4	9	1006750-67	CAPACITOR, FIXED
8	8	8	1010364-769	CAPACITOR, FIXED
4	2	7	1010374-20	CAPACITOR, FIXED
8	4	6	1010364-739	RESISTOR, FIXED
4	4	5	MS35216-3	SCREW, ¼ #2-56 NC
1	1	4	1015132	WAFER BOARD, LOWER
1	1	3	1015133	WAFER BOARD, UPPER
3	3	2	1015118	SHIELD
1	1	1	1015115	FRAME, MODULE
				
				PROOFED
