-11	DRAWING	TITLE	FIND	STRIKE
X	2010078	SCHEMATIC	REF	
				
				
				
AR	1010848-2	WIRE, ELECTRICAL	24	
AR	QQ-W-343 TYPE S	WIRE, ELEC COPPER, AWG 18, SOFT TIN COATED	23	
2	MS20341-416B	NUT	22	
2	2008013-6	TERMINAL - LUG, SOLDER - FLAT	21	
2	1008071-5	WASHER, FLAT	20	
6	1008024-4	WASHER, INSULATOR	19	
2	2008020-2	BUSHING, INSULATOR	18	
1	1008540-8	GASKET, CONNECTOR, MINIATURE	17	
4	1008540-7	GASKET, CONNECTOR, MINIATURE	16	
			15	
AR	1006757-1	WIRE, ELEC	14	
			13	
AR	1006776-21	INSULATION SLEEVING	12	
AR	1006776-20	INSULATION SLEEVING	11	
AR	1006776-18	INSULATION SLEEVING	10	
1	1008143	BUS BAR, DOUBLE LUG	9	
3	1008142	BUS BAR, DOUBLE LUG	8	
36	1006775	INSULATOR, WRAPOST - MALE, MINIATURE	7	
36	1006782-5	CONTACT, WRAPOST - MALE, MINIATURE	6	
1	2008093-001	TERMINAL, THREADED	5	
1	1010364-443	RESISTOR	4	
2	1010636-1	DIODE	3	
1	1008860-1	CAPACITOR	2	
1	2008288	HEATSINK	1	
				
X	X	PROOFED	REF	X
