FIND	0	DRAWING	TITLE
1	10'	1010789-006	WIRE
2	15'	-001	WIRE
3	15'	-016	WIRE
4	55'	-008	WIRE
5	15'	-003	WIRE
6	20'	-017	WIRE
7	10'	-012	WIRE
8	90'	-015	WIRE
9	10'	-009	WIRE
10	15'	1010707-1	WIRE
11	5'	1010789-005	WIRE
12	80'	-002	WIRE
13	1	1010929-103	CONNECTOR PLUG ELECTRICAL
14	1	-104	CONNECTOR PLUG ELECTRICAL
15	1	-109	CONNECTOR PLUG ELECTRICAL
16	1	1010930-014	CONNECTOR RECEPTACLE ELECTRICAL
17	1	1010947-105	CONNECTOR PLUG ELECTRICAL
18	1	1010965-001	CONNECTOR PLUG ELECTRICAL
19	1	-002	CONNECTOR PLUG ELECTRICAL
20	1	6014535-021	CONNECTOR ASSEMBLY ELECTRICAL
25	56	1010955-001	CONTACT, ELECTRICAL MINIATURE, MALE
26	63	-002	CONTACT, ELECTRICAL MINIATURE, MALE
27	78	1010958-001	PLUG PROTECTIVE SEALING
28	24	1010984	PLUG PROTECTIVE SEALING
29	73	1010402-2	SLEEVE, SOLDER
30	39	1010490-110	INSULATION SLEEVING, ELECTRICAL, HEAT SHRINK
31	6	-112	INSULATION SLEEVING, ELECTRICAL, HEAT SHRINK
32	18	1010979-2	PIN, TAPER
33	2	2014670-4	ADAPTER, SUBMINIATURE CONN.
34	1	-6	ADAPTER, SUBMINIATURE CONN.
35	1	-7	ADAPTER, SUBMINIATURE CONN.
36	1	-9	ADAPTER, SUBMINIATURE CONN.
43	AR	2012507-004	TAPE, LACING
44	AR	MIL-T-23594 TYPE II 1" WIDE	TAPE, TEFLON
45	AR	MIL-T-23594 TYPE II .25" WIDE	TAPE, TEFLON
46	AR	1012503	COMPOUND, POTTING, POLYURETHAN
47	16	1010862	BUSHING, SLEEVE
48	1	1010945-1	REDUCER, SPLICE
49	1	1012534-95	INSULATION SLEEVING, ELECTRICAL, HEAT SHRINK
50	1	2014670-1	ADAPTER, SUBMINIATURE CONN.
51	7	1010958-2	PLUG PREOTECTIVE, SEALING
52	1	6010654-011	JUNCTION BOX ASSEMBLY
55	AR	1012504	PRIMER, METAL PARTS
56	AR	1010661	EPOXY RESIN
57	AR	1010679	ADHESIVE ACTIVATOR
58	5'	1010789-011	WIRE
59	1	2014670-014	ADAPTER, CONNECTOR
60	1	2021203	TERMINAL LUG, SOLDER
61	1	MS35333-69	WASHER, LOCK
62	1	1006783-93	SCREW, BUTTON HD
63	6	1010763-2	SLEEVE, SOLDER
64	119	1010490-114	INSULATION SLEEVING (HEAT SHRINKABLE)
65	AR	QQ-S-571 SN60 WRAP 2	SOLDER
66	AR	QQ-S-571 SN60 WS	SOLDER
67	AR	MIL-F-14256 TYPE A OR W	FLUX
68	1	1008808-012	CAP, PROTECTIVE
69	AR	1008822	COLORANT, EPOXY BASE
70	AR	1006277	SILICA, PULVERIZED PYROGENIC
			
			PROOFED
