-11	DRAWING	TITLE	FIND	STRIKE
X	2010123	SCHEMATIC	REF	
				
2	1010364-693	RESISTOR	59	
4	1008815-9	DIODE	58	
12	1008161-1	SCREW CAP SLOTTED HD SPECIAL	57	
2	1010311-294	RESISTOR	56	
2	1010410-5	CAPACITOR	55	
12	1010397-1	TRANSISTOR	54	
12	1010367	TRANSISTOR	53	
2	1010466	TRANSFORMER	52	
6	1010323	TRANSFORMER	51	
6	1008842	TRANSFORMER	50	
6	1008832	TRANSFORMER	49	
4	1010837-001	DIODE	48	
1	1010259-000	DIODE	47	
4	1010410-7	CAPACITOR	46	
6	1010410-18	CAPACITOR	45	
12	1010279-16	CAPACITOR	44	
2	1006755-182	CAPACITOR	43	
6	1006755-69	CAPACITOR	42	
2	1006755-40	CAPACITOR	41	
12	1006755-34	CAPACITOR	40	
6	1006755-31	CAPACITOR	39	
2	1006755-4	CAPACITOR	38	
1	1010364 SEE NOTE 26	RESISTOR	37	
6	1010364-769	RESISTOR	36	
6	1010364-707	RESISTOR	35	
2	1010311-312	RESISTOR	34	
12	1010364-653	RESISTOR	33	
1	1010364-403	RESISTOR	32	
1	1010364-385	RESISTOR	31	
1	1010364-225	RESISTOR	30	
2	1010364-217	RESISTOR	29	
2	1010311-51	RESISTOR	28	
2	1010311-306	RESISTOR	27	
4	1010364-581	RESISTOR	26	
2	1010364-217	RESISTOR	25	
6	1006750-72	RESISTOR	24	
6	1006750-65	RESISTOR	23	
6	1006750-56	RESISTOR	22	
12	1006750-36	RESISTOR	21	
14	1006750-25	RESISTOR	20	
1	1006750-14	RESISTOR	19	
AR	1006776-21	INSULATION SLEEVING	18	
AR	1006776-20	INSULATION SLEEVING	17	
AR	1006757-1	WIRE ELECTRICAL	16	
AR	1010848-2	WIRE ELECTRICAL	15	
1	2008093-000	TERMINAL THREADED	14	
6	1015135-011	SPACER	13	
3	1008168-3	SPACER	12	
1	1008540-9	GASKET	11	
1	1008540-8	GASKET	10	
2	1008540-7	GASKET	9	
1	1008540-4	GASKET	8	
35	1006782-16	CONTACT WRAPOST – MALE MINIATURE	7	
35	1006775	INSULATOR, WRAPOST – MALE MINIATURE	6	
1	2008468	WIRING BOARD D	5	
1	2008466	WIRING BOARD C	4	
1	2008464	WIRING BOARD B	3	
1	2008462	WIRING BOARD A	2	
1	2008461	FRAME	1	
				
X	X	PROOFED	REF	X
