0	FIND	DRAWING	TITLE
AR	6	MIL-F-14256	FLUX
AR	5	QQ-S-571 SN60 WS	SOLDER
AR	4	QQ-S-571 SN60 WARP2	SOLDER
2	3	1010360-16	RESISTOR, VARIABLE
2	2	-12	RESISTOR, VARIABLE
1	1	1016895	BOARD, MOUNTING
			
			PROOFED
