-21	-11	DRAWING	TITLE	FIND	STRIKE
1	1	2018846	WIRE GUIDE, BRG HSG, I.A., RSVR	16	
'4.0”	'4.0”	1010416-3	WIRE AWG 28E RED	15	
1	1	1010717-1	TERMINAL, LUG	14	
7.5”	7.5”	1010416-1	WIRE AWG 28E BLK	13	
2	2	1010891-2	SCREW, BUTTON HD, SELF-LKG, SOC SPLINE	12	
1	1	1000020-12	SHIELD & GROUND ASSY	11	
AR	AR	MIL-T-713 TYPE P CLASS 2	TAPE, NYLON, WAXED	10	
21	21	1006776-14	INSULATION SLEEVING ELEC 5/16 LONG	9	
55	55	1006776-18	INSULATION SLEEVING ELEC 5/16 LONG	8	
4	4	MS15795-703	WASHER FLAT METAL ROUND	7	
4	4	1010891-12	SCREW, BUTTON HD, SELF-LKG, SOC SPLINE	6	
1	1	2018782	WIRE GUIDE, BRG HSG, I.A., RSVR	5	X
1	1	1010917-108	CONNECTOR, ELEC, RECEP, 34 PINS	4	
2	2	1010917-806	CONNECTOR, ELEC, PLUG, 26 PINS	3	
1	1	2018634	SLIP, RING ASSY, ELEC, 40 CONTACT	2	
1	1	2018608-011	RESOLVER ASSEMBLY INNER AXIS	1	
					
			PROOFED		
