FIND	0	DRAWING	TITLE
43	AR	1006776-22	INSULATION SLEEVING 
42	2	1010364-693	RESISTOR
41	2	AN500D-2-4	SCREW, FIL HD
40	AR	1006776-21	INSULATION SLEEVING 
39	AR	1006787-2	WIRE ELEC - .020 DIA
38	AR	1006757-1	WIRE ELEC - .010 X .020
37	AR	1006776-20	INSULATION SLEEVING 
36	12	1006782-5	CONTACT, WRAPOST MALE MIN
35	12	1006775	INSULATOR, WRAPOST MALE MIN
34	2	AN500D-4-4	SCREW, FIL HD
33	1	1015135-015	SPACER
32	2	1006750-42	RESISTOR
31	2	-25	RESISTOR
30	2	-12	RESISTOR
29	2	1010368-8	RESISTOR
28	2	1006750-56	RESISTOR
27	2	-26	RESISTOR
26	2	1010364-673	RESISTOR
25	2	1010368-115	RESISTOR
24	2	1006750-66	RESISTOR
23	2	-44	RESISTOR
22	2	-32	RESISTOR
21	2	1010364-757	RESISTOR
20	2	1006750-73	RESISTOR
19	2	-72	RESISTOR
18	2	-84	RESISTOR
17	2	1010364-727	RESISTOR
16	2	1006750-77	RESISTOR
15	2	1010364-687	RESISTOR
14	2	1010398-2	TRANSISTOR
13	2	1010357-1	TRANSISTOR
12	4	1010397-1	TRANSISTOR
11	2	1010372-24	SEMICONDUCTOR DEVICE – DIODE
10	2	1010375-56	CAPACITOR
9	2	1010359-18	CAPACITOR
8	2	1010409-33	CAPACITOR
7	2	1010359-21	CAPACITOR
6	2	1006755-45	CAPACITOR
5	2	-31	CAPACITOR
4	4	-79	CAPACITOR
3	1	1015719	WAFER – UPPER
2	1	1015718	WAFER – LOWER
1	1	1015717	FRAME (INSEP ASSY)
			
			PROOFED
