-021	-011	FIND	DRAWING	TITLE	STRIKE
1		30	1021747	PLATE, MOUNTING	
1		29	1021746	HOUSING	
AR	AR	28	1012049	LUBRICANT, DRY FILM	X
1	1	27	1021736	SLEEVE, ADJUSTING	
AR	AR	26	MIL-M-7866	MOLYBDENUM DISULFIDE POWDER	
AR	AR	25	1010657	EPOXY RESIN	
AR	AR	24	MIL-S-22473 GRADE A	SEALING COMPOUND, RETAINING	
	1	23	1014537	HOUSING	
1	1	22	MS171434	PIN, SPRING	
8	8	21	1015052	SPRING, ACTUATOR	
8	8	20	MS35649-24	NUT, PLAIN, HEX.	
2	2	19	1010418-001	BUSHING, FLANGED	
2	2	18	1015051	STOP BLOCK	
AR	AR	17	1010686	CATALYST	
12	12	16	MS15795-802	WASHER, PLAIN	
1	1	15	1015046	CAM, ACTUATOR	
1	1	14	1015045	SHAFT, FULCRUM	
2	2	13	MS51923-168	PIN, SPRING	
2	2	12	NAS1352CO2-6	SCREW, SOC HD CAP	
4	4	11	1014615	STOP BLOCK	
4	4	10	MS35233-6	SCREW, PAN HD	
16	16	9	MS35233-8	SCREW, PAN HD	
6	6	8	1010901-1	SWITCH, BASIC	
1	1	7	1010785-12	PACKING, PREFORMED	
1	1	6	MS16555-605	PIN, DOWEL	
4	4	5	1014614	SPRING, ACTUATOR	
1	1	4	1015044	ACTUATOR AND SHAFT	
1	1	3	1014669	KNOB, SHAFT ACTUATOR	
4	4	2	1006783-18	SCREW, BUTTON HD, SOC.	
	1	1	1015047	PLATE, MOUNTING	
					
				PROOFED	
