-11	DRAWING	TITLE	FIND	STRIKE
X	2010006	SCHEMATIC	REF	
				
				
				
				
AR	1010848-2	WIRE, ELECTRICAL	41	
1	1010887	TRANSFORMER	40	
1	1010324	TRANSFORMER	39	
1	1010269-2	TRANSISTOR MATCHED PAIR	38	
1	1008813-3	TRANSISTOR MATCHED PAIR	37	
1	1010431-000	TRANSISTOR	36	
2	1010264-29	CAPACITOR	35	
1	1010264-5	CAPACITOR	34	
2	1006750-12	RESISTOR	33	
2	1006750-18	RESISTOR	32	
2	1010364-385	RESISTOR	31	
1	SEE NOTE 24	RESISTOR	30	
1	SEE NOTE 24	RESISTOR	29	
2	1006750-1	RESISTOR	28	
1	1006750-43	RESISTOR	27	
2	1006750-56	RESISTOR	26	
1	1010364-543	RESISTOR	25	
1	SEE NOTE 24	RESISTOR	24	
1	1010364-251	RESISTOR	23	
1	1010372-15	DIODE	22	
1	1010829-2	DIODE	21	
2	MS20341-10B	NUT, HEX	20	
2	1008071-2	WASHER, FLAT	19	
4	1008024-1	WASHER, INSULATOR	18	
2	2008020-1	BUSHING, INSULATOR	17	
2	1008025-2	INSULATOR BUSHING	16	
2	1010618-14	SCREW BUTTON HEAD	15	
1	2008093-000	TERMINAL THREADED	14	
1	1008540-10	GASKET	13	
AR	MIL-I-15126	INSULATION TAPE TYPE MFT 2.5, 1/2 IN WIDE	12	
AR	1006757-21	WIRE, ELECTRICAL	11	
			10	
AR	1006757-1	WIRE, ELECTRICAL	9	
			8	
AR	1006776-21	INSULATION SLEEVING	7	
AR	1006776-20	INSULATION SLEEVING	6	
10	1006775	INSULATOR, WRAPOST MALE MINIATURE	5	
10	1006782-5	CONTACT, WRAPOST MALE MINIATURE	4	
			3	
			2	
1	2008031	HEATSINK	1	
				
X	X	PROOFED	REF	X
