-011	FIND	DRAWING	TITLE	STRIKE
36	9	MS15795-805	WASHER, FLAT	
36	8	NAS1352-06-8	SCREW, CAP SOCKET HEAD	
3	7	1007507-011	DC DIFF AMPLIFIER & POWER	
2	6	1007009	PIPA CALIBRATION	X
2	5	1007517-011	AC DIFFERENTIAL AMPLIFIER	
2	4	1007419-011	INTERROGATOR	
1	3	1007021	PULSE TORQUE GYRO CAIBRATE	X
2	2	1007427-011	BINARY CURRENT SWITCH	
1	1	1021213-011	FRAME ASSEMBLY	
				
			PROOFED	
