0	TITLE	DRAWING	FIND
AR	WIRE	1006711-18	6
AR	IMPREGNANT	1010687-1	5
AR	POLYESTER	MIL-I-631 TYPE G	4
AR	WIRE (LEADS)	1006711-13	3
AR	WIRE	-22	2
2	CORE	1010689-2	1
			
	PROOFED		
