0	DRAWING	TITLE	FIND
X	1010022	SCHEMATIC ADA PRE AMPLIFIER	REF
			
1	1010359-29	CAPACITOR	30
2	1008001-2	RETAINER, SCREW	29
2	1008002-3	SCREW, EXTERNALLY RELIEVED BODY	28
2	MS35338-78	WASHER, LOCK	27
2	MS15795-303	WASHER, FLAT	26
AR	1006776-20	INSULATION, SLEEVING, ELECTRICAL	25
AR	-22	INSULATION, SLEEVING, ELECTRICAL	24
AR	1006787-2	WIRE, ELECTRICAL, NICKEL, IRON	23
AR	1006757-1	WIRE, ELECTRICAL, NICKEL, RECT	22
1	1010397	TRANSISTOR	21
1	1010345-1	TRANSISTOR	20
1	1010252	TRANSISTOR	19
2	1010265-012	DIODE	18
1	1010372-1	DIODE	17
1	-20	DIODE	16
1	1010320-13	CAPACITOR	15
1	1006777-24	CAPACITOR	14
1	1010369 SEE DRAWING NOTE 11	RESISTOR	13
2	1010312-030	RESISTOR	12
1	1006750-60	RESISTOR	11
1	1010369-98	RESISTOR	10
2	1006750-64	RESISTOR	9
1	1010369-96	RESISTOR	8
2	1006750-63	RESISTOR	7
2	1010321-398	RESISTOR	6
2	1010364-501	RESISTOR	5
8	1006784-59	TERMINAL, FEEDTHRU	4
2	1008030	SPACER	3
1	1008041	WIRING BOARD, B	2
1	1008040	WIRING BOARD, A	1
			
		PROOFED	
